report_num,significant,long,lat
20130084,1,-89.24499,31.96551
20130085,0,-94.54854,30.92773
20130086,1,-94.55099,30.92696
20130087,1,-98.7191,32.56273
20130088,0,-74.213579,40.585479
20130089,1,-95.245072,29.461595
20130090,1,-98.7683,32.61094
20130091,1,-95.03284979,29.69373658
20130092,1,-95.05727158,29.62333683
20130094,0,-94.65934,39.17837
20130095,0,-94.4014,30.1458
20130096,0,-94.069686,30.049461
20130097,1,-97.08663,37.84552
20130098,1,-93.783194,37.188347
20130099,1,-85.110422,40.395534
20130100,0,-84.629237,33.855711
20130101,1,-95.012758,29.763813
20130102,0,-87.445686,41.510158
20130103,1,-105.576613,44.460839
20130104,0,-87.5885,39.544
20130105,1,-94.93121,29.37889
20130106,0,-93.95632,29.8538
20130107,0,-89.967529,29.253809
20130108,1,-95.107733,29.52032
20130109,1,-96.74691,35.94072
20130110,0,-74.213579,40.585479
20130111,1,-89.928927,30.087494
20130112,0,-102.137422,32.088227
20130113,0,-101.541111,35.285
20130114,1,-94.53129,30.93182
20130115,1,-97.62086,35.84613
20130116,1,-118.16312222,33.863481
20130117,1,-94.0637716,29.9877906
20130118,0,-92.88889,30.10556
20130119,0,-98.31176,38.34024
20130120,0,-102.87641,41.322508
20130121,1,-88.574787,32.532145
20130122,0,-96.02489,36.13137
20130123,1,-96.74944,35.95778
20130124,0,-94.07014,30.05006
20130125,1,-97.0456,32.5343
20130126,1,-90.1741,29.633617
20130127,0,-94.5044,30.02767
20130128,0,-95.1625,29.708617
20130129,0,-97.0122,37.9702
20130130,1,-93.1468,33.24043
20130131,0,-102.012028,32.02363
20130132,1,-91.03874,30.2304266
20130133,0,-119.391572,35.097314
20130134,1,-96.47409,32.0711
20130135,0,-93.35381,43.1407
20130136,1,-112.052591,41.419421
20130137,1,-87.46149,41.640835
20130138,0,-96.323668,32.772073
20130139,0,-102.17472,31.784903
20130140,0,-93.95604,29.87727
20130141,0,-86.22466,37.46699
20130142,0,-94.698972,29.926686
20130143,1,-83.551501,41.752979
20130144,1,-97.9906,28.8239
20130145,0,-82.397732,41.255807
20130146,0,-91.768142,31.525701
20130147,0,-102.19186,31.13665
20130148,0,-91.28181,30.71263
20130149,1,-95.2219583,29.716111
20130150,0,-83.551501,41.752979
20130151,1,-92.42859,34.96406
20130152,1,-95.412879,47.685115
20130153,1,-87.897211,39.328029
20130154,0,-96.47409,32.0711
20130155,0,-95.15331796,29.81987246
20130156,1,-95.612086,37.052548
20130157,1,-95.228165,29.706587
20130158,0,-74.21935,40.59063
20130159,0,-118.271949,33.736385
20130160,0,-74.25384,40.52243
20130161,0,-72.8999,41.2885
20130162,1,-94.22335,38.58556
20130163,1,-89.086496,39.816597
20130164,1,-97.83127,38.38154
20130165,0,-86.80266,33.28411
20130166,1,-99.18709,28.54022
20130167,0,-84.131779,40.711466
20130168,0,-93.3292,30.18348
20130169,1,-95.13058,29.74772
20130170,0,-74.21935,40.59063
20130171,0,-97.20423,36.54755
20130172,0,-103.56208,31.52811
20130173,0,-96.75159,35.94336
20130174,0,-96.47409,32.0711
20130175,0,-98.638556,33.826786
20130176,1,-96.43556,48.21111
20130177,0,-89.493926,39.22226
20130178,0,-75.535209,40.519728
20130179,1,-90.07891101,38.82204498
20130180,0,-120.3564278,36.18977222
20130181,0,-102.0054,32.00836
20130182,0,-82.167048,41.274678
20130183,0,-94.22141,32.61009
20130184,0,-82.47944,34.55306
20130185,0,-86.82914,36.18085
20130186,0,-97.492924,34.23884
20130187,1,-99.614158,48.323422
20130188,1,-97.21214672,47.882222
20130189,1,-90.87867,36.57243
20130190,1,-96.02083,47.90556
20130191,1,-91.189346,42.183809
20130192,0,-95.1625,29.708617
20130193,0,-95.63705,36.135178
20130194,0,-90.477517,38.869483
20130195,0,-76.03375,40.31491
20130196,0,-95.179006,43.080915
20130197,1,-91.001564,29.82961
20130198,1,-86.226389,39.853611
20130199,0,-96.3957,31.7768
20130200,1,-89.44549,38.95973
20130201,0,-95.012757,29.763824
20130202,0,-95.43176,28.95081
20130203,0,-97.2963,32.9392
20130204,0,-102.4290155,33.5890316
20130205,1,-90.26972,29.44778
20130206,0,-83.45348,41.67288
20130207,1,-94.26191,29.90949
20130208,1,-96.75655,35.95885
20130209,1,-89.28764,29.31589
20130210,0,-96.24902,41.90877
20130211,0,-90.8547222,30.0038889
20130212,0,-99.28394,34.31371
20130213,0,-94.93573,29.34551
20130214,0,-75.4177,39.8411
20130215,0,-104.67988,39.74636
20130216,0,-86.246533,39.915961
20130217,1,-85.862736,40.291729
20130218,0,-98.90449,34.092292
20130219,0,-95.23189,29.73069
20130220,0,-74.25384,40.52243
20130221,0,-74.25384,40.52243
20130222,0,-96.45009,36.01167
20130223,0,-96.4543,46.6178
20130224,0,-98.141111,28.920722
20130225,0,-96.621621,29.473497
20130226,0,-98.31168,38.34021
20130227,0,-93.459573,39.36863
20130228,0,-97.9921,28.41922
20130229,1,-104.388373,43.992624
20130230,1,-100.293152,36.947219
20130231,0,-110.077696,40.16005
20130232,0,-88.64449,40.94267
20130233,0,-102.01648,32.02064
20130234,0,-98.63609,32.49781
20130235,0,-95.17334,30.83705
20130236,0,-93.52615,41.55849
20130237,1,-97.09409,28.61171
20130238,0,-84.77444,45.78611
20130239,0,-84.62397,33.85602
20130240,0,-81.347693,40.676504
20130241,0,-104.39,32.848
20130242,0,-119.064372,35.063508
20130243,0,-94.05578,29.97523
20130244,0,-83.233783,34.093675
20130245,1,-103.18311,35.96576
20130246,1,-102.22691,31.93856
20130247,0,-74.25384,40.52243
20130248,0,-74.25384,40.52243
20130249,0,-76.125691,39.673538
20130250,0,-99.71718,32.38719
20130251,1,-90.16212,29.10788
20130252,0,-98.440369,33.914572
20130253,0,-149.8164,67.7987
20130254,1,-97.9533,33.863
20130255,1,-88.3412,32.3036
